Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01CJ5CE	59-259	201	15-285	271	341
HSKHDBE01BGD4Q	59-388	330	15-388	374	393
HSKHDBE01CZ2CT	56-373	318	15-373	359	496
HSKHDBE01BH2O1	55-180	126	15-180	166	512
HSKHDBE01DNOIG	55-181	127	15-182	168	471
HSKHDBE01BPASA	59-296	238	15-296	282	298
HSKHDBE01CFT7E	55-183	129	15-183	169	260
HSKHDBE01DFQCE	56-363	308	15-363	349	368
HSKHDBE01EBY1X	61-336	276	15-374	360	512
HSKHDBE01CGHV8	51-51	1	15-51	37	556
HSKHDBE01A88LR	57-184	128	15-184	170	187
HSKHDBE01CBORG	56-163	108	15-163	149	712
HSKHDBE01EAM5B	58-101	44	15-101	87	731
HSKHDBE01BI3X4	58-348	291	15-348	334	461
HSKHDBE01CM9ZA	93-109	17	15-109	95	586
HSKHDBE01D2G5K	59-159	101	15-159	145	172
HSKHDBE01DL7TQ	57-281	225	15-281	267	283
HSKHDBE01BGFJ1	54-72	19	15-72	58	663
HSKHDBE01EO4L2	56-362	307	15-362	348	365
HSKHDBE01BRXE2	59-366	308	15-421	407	442
HSKHDBE01CZ37W	57-355	299	15-355	341	367
HSKHDBE01DJD06	36-36	1	15-54	40	368
HSKHDBE01E0MXP	61-463	403	15-463	449	467
HSKHDBE01ECCB7	56-464	409	15-464	450	475
HSKHDBE01BPCBU	55-408	354	15-423	409	513
HSKHDBE01B0ADM	58-450	393	15-450	436	459
HSKHDBE01B6JD0	58-349	292	15-349	335	510
HSKHDBE01BDJ6C	61-241	181	15-241	227	480
HSKHDBE01CCAPN	56-184	129	15-184	170	185
HSKHDBE01C3CAP	54-494	441	15-494	480	498
HSKHDBE01DVZML	53-274	222	15-274	260	276
HSKHDBE01D2GWD	56-363	308	15-363	349	368
HSKHDBE01C2A72	59-484	426	15-484	470	521
HSKHDBE01AQGCF	53-119	67	15-119	105	400
HSKHDBE01CY5HJ	55-403	349	15-403	389	520
HSKHDBE01DVJN0	56-99	44	15-99	85	650
HSKHDBE01D570F	57-301	245	15-301	287	311
HSKHDBE01DXS4B	57-355	299	15-355	341	368
HSKHDBE01EC6C5	58-366	309	15-366	352	369
HSKHDBE01BH8YU	59-165	107	15-165	151	500
HSKHDBE01CHH5E	56-511	456	15-511	497	516
HSKHDBE01D4E4U	50-50	1	15-50	36	597
HSKHDBE01CUQ29	54-485	432	15-485	471	492
