Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01DMX16	58-446	389	15-446	432	546
HSKHDBE01ENUY6	58-279	222	15-279	265	511
HSKHDBE01BD9SF	56-333	278	15-348	334	595
HSKHDBE01C4RMJ	56-471	416	15-498	484	518
HSKHDBE01EHI7R	55-180	126	15-180	166	515
HSKHDBE01AUWE9	54-372	319	15-372	358	525
HSKHDBE01EHYT7	56-376	321	15-376	362	526
HSKHDBE01EUBRT	56-462	407	15-462	448	502
HSKHDBE01BVUET	53-396	344	15-396	382	549
HSKHDBE01EJ62T	55-482	428	15-482	468	520
HSKHDBE01A62T0	56-367	312	15-367	353	500
HSKHDBE01D32MM	115-132	18	15-132	118	149
HSKHDBE01EUYOT	59-367	309	15-422	408	445
HSKHDBE01EUEB4	62-426	365	15-426	412	508
HSKHDBE01EDRN9	56-463	408	15-463	449	512
HSKHDBE01EQV8P	56-451	396	15-462	448	557
HSKHDBE01B7S1L	54-376	323	15-412	398	464
HSKHDBE01E2MX1	57-469	413	15-469	455	500
HSKHDBE01AIP81	56-356	301	15-356	342	495
HSKHDBE01A0CAO	57-296	240	15-296	282	594
HSKHDBE01DEDZS	55-427	373	15-427	413	519
HSKHDBE01AGAMV	54-459	406	15-459	445	523
HSKHDBE01BDWWA	57-328	272	15-328	314	509
HSKHDBE01CWPM5	55-426	372	15-426	412	525
HSKHDBE01BCNCK	55-409	355	15-409	395	523
HSKHDBE01BWGWA	56-376	321	15-376	362	484
HSKHDBE01ASX2D	57-299	243	15-299	285	635
HSKHDBE01BC2Q6	59-114	56	15-114	100	751
HSKHDBE01EJ2I4	58-464	407	15-464	450	514
HSKHDBE01BHDGC	37-418	382	15-428	414	495
HSKHDBE01D1Z3H	56-370	315	15-370	356	501
HSKHDBE01B4210	60-401	342	15-401	387	494
HSKHDBE01AT5I0	59-110	52	15-110	96	530
HSKHDBE01D83DN	59-113	55	15-113	99	667
HSKHDBE01CM2RY	55-96	42	15-96	82	437
HSKHDBE01B22M4	57-362	306	15-362	348	549
HSKHDBE01CX8AC	59-229	171	15-229	215	232
HSKHDBE01EBMNE	57-459	403	15-459	445	499
HSKHDBE01ENFB5	54-396	343	15-396	382	532
HSKHDBE01BWPJ2	61-417	357	15-417	403	519
HSKHDBE01EAC55	55-460	406	15-460	446	513
HSKHDBE01AK4L8	54-356	303	15-356	342	526
HSKHDBE01CDGBA	59-428	370	15-428	414	507
HSKHDBE01CGZEB	55-190	136	15-190	176	525
HSKHDBE01EYZ69	56-146	91	15-146	132	734
HSKHDBE01BN1R0	57-316	260	15-316	302	621
HSKHDBE01EXULS	53-409	357	15-409	395	540
HSKHDBE01ESD0J	56-462	407	15-462	448	520
HSKHDBE01BAM8W	61-184	124	15-184	170	558
HSKHDBE01D0S9M	37-284	248	15-284	270	534
HSKHDBE01EVV4K	58-318	261	15-318	304	526
HSKHDBE01C9TQX	55-497	443	15-516	502	519
HSKHDBE01AZCE6	55-265	211	15-297	283	605
HSKHDBE01DOR2Q	56-401	346	15-403	389	531
HSKHDBE01BRXI7	55-497	443	15-513	499	515
HSKHDBE01D6BL6	57-399	343	15-399	385	521
HSKHDBE01AL50A	57-431	375	15-431	417	495
HSKHDBE01EQY5I	59-426	368	15-426	412	517
HSKHDBE01DF5JL	60-478	419	15-478	464	490
HSKHDBE01COWRA	57-378	322	15-378	364	501
HSKHDBE01C7MI0	54-447	394	15-447	433	522
HSKHDBE01CVU0W	55-459	405	15-459	445	512
HSKHDBE01C5ADQ	56-462	407	15-462	448	496
HSKHDBE01APFU1	57-387	331	15-395	381	554
HSKHDBE01DJPDI	58-413	356	15-413	399	508
HSKHDBE01BTBMI	55-360	306	15-360	346	524
HSKHDBE01AEYRV	56-395	340	15-395	381	558
HSKHDBE01DWDK3	115-132	18	15-132	118	147
HSKHDBE01C0RYU	56-505	450	15-505	491	527
HSKHDBE01C8L6Y	54-315	262	15-315	301	331
HSKHDBE01D1XQ0	59-229	171	15-268	254	538
HSKHDBE01EYPMU	55-123	69	15-147	133	550
HSKHDBE01C599E	56-412	357	15-412	398	521
HSKHDBE01DMEDP	57-418	362	15-418	404	523
HSKHDBE01E2KDF	62-179	118	15-214	200	572
HSKHDBE01BXVP3	54-506	453	15-506	492	514
HSKHDBE01B90JO	56-500	445	15-500	486	518
HSKHDBE01BXHG5	55-396	342	15-396	382	523
HSKHDBE01EMUCQ	56-432	377	15-434	420	508
HSKHDBE01DCMIS	57-476	420	15-478	464	513
HSKHDBE01DX1X8	56-431	376	15-431	417	560
HSKHDBE01CYGRD	56-464	409	15-464	450	500
HSKHDBE01EDZ34	59-296	238	15-296	282	298
HSKHDBE01EG6G2	60-159	100	15-159	145	516
HSKHDBE01CKZXP	59-486	428	15-486	472	527
HSKHDBE01B18EZ	57-471	415	15-471	457	519
HSKHDBE01AM821	58-414	357	15-414	400	512
HSKHDBE01DWU01	37-37	1	16-65	50	805
HSKHDBE01BOSA1	54-442	389	15-442	428	521
HSKHDBE01DB9OC	56-427	372	15-427	413	520
HSKHDBE01ACY4D	59-399	341	15-399	385	507
HSKHDBE01BLU76	59-75	17	15-75	61	615
HSKHDBE01CNWKD	93-400	308	15-433	419	575
HSKHDBE01D5V05	55-216	162	15-216	202	217
HSKHDBE01CD7F0	55-396	342	15-396	382	527
HSKHDBE01CG8Q1	58-488	431	15-488	474	512
HSKHDBE01DDAM2	62-399	338	15-399	385	512
HSKHDBE01DNP6R	93-474	382	15-474	460	479
HSKHDBE01A9WRP	57-376	320	15-376	362	487
HSKHDBE01CQY1E	57-415	359	15-415	401	527
HSKHDBE01CH4LP	56-435	380	15-435	421	585
HSKHDBE01D21IQ	56-454	399	15-454	440	519
HSKHDBE01AC7F0	56-387	332	15-387	373	514
HSKHDBE01DQH3V	54-112	59	15-112	98	634
HSKHDBE01CAUD1	56-411	356	15-411	397	555
HSKHDBE01BA91H	56-363	308	15-363	349	366
HSKHDBE01EXGF0	56-385	330	15-385	371	496
HSKHDBE01EV1NB	57-88	32	15-97	83	967
HSKHDBE01BS05V	57-418	362	15-418	404	529
HSKHDBE01C81SU	56-507	452	15-538	524	558
HSKHDBE01C33JW	58-316	259	15-316	302	518
HSKHDBE01EO8AC	62-306	245	15-306	292	580
HSKHDBE01DNXAD	93-472	380	15-472	458	480
HSKHDBE01C5SBB	59-107	49	15-107	93	627
HSKHDBE01CJ3PF	57-449	393	15-449	435	511
HSKHDBE01AWP49	59-479	421	15-479	465	518
HSKHDBE01BO72O	57-384	328	15-384	370	500
HSKHDBE01AO4MB	61-380	320	15-380	366	510
HSKHDBE01BB22T	54-450	397	15-450	436	496
HSKHDBE01CDXV5	59-468	410	15-468	454	507
HSKHDBE01DYDKT	57-457	401	15-457	443	496
HSKHDBE01EW8M8	55-386	332	15-386	372	522
HSKHDBE01AZIHT	56-383	328	15-383	369	519
HSKHDBE01CI05Y	57-347	291	15-347	333	510
HSKHDBE01AK4U1	57-296	240	15-296	282	297
HSKHDBE01DNB3P	59-401	343	15-401	387	516
HSKHDBE01DEIJC	55-319	265	15-319	305	539
HSKHDBE01B15KX	56-287	232	15-297	283	370
HSKHDBE01A83YW	53-472	420	15-489	475	536
HSKHDBE01AMQD3	54-365	312	15-365	351	515
HSKHDBE01A9JP8	56-78	23	15-78	64	523
HSKHDBE01AX7WZ	57-445	389	15-445	431	542
HSKHDBE01EKEBX	56-135	80	15-135	121	709
HSKHDBE01E08JK	55-491	437	15-491	477	497
HSKHDBE01A9BH8	56-461	406	15-461	447	564
HSKHDBE01BEC8A	62-336	275	15-336	322	511
HSKHDBE01B08L3	59-524	466	15-524	510	530
HSKHDBE01B3RVL	55-429	375	15-429	415	521
HSKHDBE01CBLBQ	56-129	74	15-156	142	558
HSKHDBE01EGWON	57-511	455	15-511	497	539
HSKHDBE01CWPWY	54-138	85	15-138	124	554
HSKHDBE01DCJEF	56-429	374	15-429	415	560
HSKHDBE01EP8YW	54-385	332	15-420	406	523
HSKHDBE01DVLDV	56-311	256	15-311	297	603
HSKHDBE01DPAIU	58-468	411	15-468	454	515
HSKHDBE01CJONH	59-427	369	15-436	422	442
HSKHDBE01ADHLF	62-476	415	15-476	462	510
HSKHDBE01AOH35	56-423	368	15-423	409	520
HSKHDBE01D1ZQK	55-518	464	15-518	504	531
HSKHDBE01CFEGT	77-90	14	15-90	76	152
HSKHDBE01DTIV4	61-438	378	15-438	424	508
HSKHDBE01D6EXZ	56-498	443	15-498	484	518
HSKHDBE01AV01Q	55-114	60	15-114	100	772
HSKHDBE01BKOH2	56-414	359	15-427	413	516
HSKHDBE01BPXSD	54-316	263	15-316	302	526
HSKHDBE01CVO9L	58-474	417	15-474	460	520
HSKHDBE01EMIMS	61-455	395	15-463	449	518
HSKHDBE01B9PHI	57-458	402	15-458	444	529
HSKHDBE01BZSV7	59-421	363	15-421	407	522
HSKHDBE01CVVP7	59-506	448	15-506	492	544
HSKHDBE01DMDD2	57-369	313	15-369	355	499
HSKHDBE01BBS9Z	56-416	361	15-416	402	519
HSKHDBE01BWAZF	56-330	275	15-330	316	505
HSKHDBE01DC0Q6	57-398	342	15-398	384	522
HSKHDBE01AXHBV	56-116	61	15-116	102	547
HSKHDBE01DXE3C	57-411	355	15-411	397	521
HSKHDBE01CEIV0	61-464	404	15-464	450	473
HSKHDBE01DMWXZ	59-367	309	15-367	353	527
HSKHDBE01EEDPC	59-500	442	15-500	486	538
HSKHDBE01BKRZR	58-330	273	15-330	316	522
HSKHDBE01AML9D	60-381	322	15-381	367	496
HSKHDBE01CF3KQ	93-332	240	15-347	333	524
HSKHDBE01CZ26R	56-144	89	15-158	144	271
HSKHDBE01D8HHK	55-354	300	15-354	340	519
HSKHDBE01DM3UR	61-495	435	15-495	481	508
HSKHDBE01E1045	57-484	428	15-484	470	490
HSKHDBE01AJXIA	56-122	67	15-122	108	392
HSKHDBE01EFIEE	56-410	355	15-410	396	544
HSKHDBE01DMFZU	59-357	299	15-357	343	542
HSKHDBE01BA170	55-395	341	15-395	381	513
HSKHDBE01EGLHN	56-367	312	15-367	353	502
HSKHDBE01AS8ZN	56-404	349	15-404	390	524
HSKHDBE01AC1RO	37-45	9	15-45	31	624
HSKHDBE01ECO9X	37-298	262	15-298	284	549
HSKHDBE01BOCII	58-374	317	15-374	360	520
HSKHDBE01DMKL0	56-318	263	15-318	304	519
HSKHDBE01AWR6A	54-378	325	15-378	364	500
HSKHDBE01EBDUZ	56-389	334	15-389	375	517
HSKHDBE01A2TS9	55-446	392	15-446	432	513
HSKHDBE01E28WR	58-310	253	15-310	296	547
HSKHDBE01BI2GS	56-484	429	15-484	470	491
HSKHDBE01A2K9F	56-402	347	15-402	388	519
HSKHDBE01DD8D6	56-369	314	15-369	355	516
HSKHDBE01DK778	62-333	272	15-333	319	523
HSKHDBE01EW8ZC	55-166	112	15-166	152	539
HSKHDBE01EM4UD	57-287	231	15-343	329	373
HSKHDBE01B6W25	50-50	1	15-50	36	599
HSKHDBE01ADEIQ	60-396	337	15-396	382	493
HSKHDBE01EP5NO	54-430	377	15-430	416	521
HSKHDBE01EK2GY	54-526	473	15-526	512	536
HSKHDBE01B7TTZ	55-55	1	15-55	41	524
HSKHDBE01CJQCN	60-401	342	15-402	388	494
HSKHDBE01CH4Y7	54-78	25	15-78	64	484
HSKHDBE01D8MUM	59-279	221	15-289	275	553
HSKHDBE01BLZ5D	59-466	408	15-466	452	510
HSKHDBE01AYV4D	62-159	98	15-159	145	622
HSKHDBE01B1AUX	56-408	353	15-408	394	494
HSKHDBE01C2B0O	61-464	404	15-480	466	524
HSKHDBE01AHNWY	58-269	212	15-269	255	538
HSKHDBE01BLKBM	36-36	1	15-61	47	627
HSKHDBE01A15FQ	56-435	380	15-435	421	526
HSKHDBE01CL53Z	59-442	384	15-452	438	519
HSKHDBE01BMMG2	56-499	444	15-499	485	525
HSKHDBE01CIWCH	56-346	291	15-346	332	500
HSKHDBE01CSTTQ	59-442	384	15-469	455	516
HSKHDBE01CKTZU	56-457	402	15-457	443	499
HSKHDBE01DPJ16	56-416	361	15-416	402	527
HSKHDBE01EZ0PK	62-410	349	15-410	396	511
HSKHDBE01EIBSH	57-395	339	15-412	398	494
HSKHDBE01BTPOR	57-81	25	15-81	67	789
HSKHDBE01BSHDK	59-373	315	15-373	359	603
HSKHDBE01EGIEX	56-474	419	15-474	460	480
HSKHDBE01DL5XK	59-500	442	15-500	486	505
HSKHDBE01C09ZD	55-463	409	15-471	457	517
HSKHDBE01C21RO	57-357	301	15-357	343	518
HSKHDBE01DWWBF	57-431	375	15-431	417	498
HSKHDBE01DZ0D7	59-254	196	15-254	240	715
HSKHDBE01CAT22	57-401	345	15-420	406	496
HSKHDBE01D5LRB	55-448	394	15-456	442	529
HSKHDBE01AZVZQ	59-442	384	15-456	442	515
HSKHDBE01CCY2K	56-350	295	15-350	336	512
HSKHDBE01A47VE	56-472	417	15-472	458	558
HSKHDBE01C6HP8	59-134	76	15-153	139	601
HSKHDBE01ERVP4	56-397	342	15-397	383	527
HSKHDBE01EHS9O	56-480	425	15-480	466	498
HSKHDBE01EAM2J	56-433	378	15-433	419	519
HSKHDBE01EKASB	54-438	385	15-438	424	516
HSKHDBE01BOFM0	57-74	18	14-74	61	549
HSKHDBE01BJS6E	59-492	434	15-492	478	514
HSKHDBE01A92R3	56-409	354	15-409	395	502
HSKHDBE01CQ7NI	58-468	411	15-468	454	514
HSKHDBE01APA1D	56-509	454	15-541	527	565
HSKHDBE01ANTOB	56-509	454	15-509	495	518
HSKHDBE01BH6AM	57-343	287	15-343	329	509
HSKHDBE01DYG54	36-36	1	15-48	34	572
HSKHDBE01C9AZ0	56-510	455	15-510	496	519
HSKHDBE01CJ3I6	57-406	350	15-406	392	509
HSKHDBE01C91WZ	55-411	357	15-413	399	522
HSKHDBE01CG2KQ	57-234	178	15-234	220	520
HSKHDBE01D73E0	55-320	266	15-320	306	517
HSKHDBE01BM11K	55-272	218	15-272	258	519
HSKHDBE01BVVRR	56-474	419	15-474	460	479
HSKHDBE01ERQVR	36-36	1	15-53	39	593
HSKHDBE01D8DAI	57-385	329	15-385	371	511
HSKHDBE01CYNBM	59-417	359	15-417	403	533
HSKHDBE01BJTWM	53-346	294	15-346	332	613
HSKHDBE01ATL0G	59-211	153	15-211	197	570
HSKHDBE01C13EI	56-374	319	15-374	360	517
HSKHDBE01EVPRN	57-284	228	15-284	270	528
HSKHDBE01D923B	58-487	430	15-487	473	517
HSKHDBE01DAVLM	57-389	333	15-389	375	507
HSKHDBE01D8NC1	54-377	324	15-377	363	461
HSKHDBE01DZLDT	58-455	398	15-455	441	542
HSKHDBE01D3A9T	55-508	454	15-508	494	523
HSKHDBE01DZC2B	56-440	385	15-440	426	559
HSKHDBE01BAX0R	54-353	300	15-353	339	366
HSKHDBE01DKWWB	62-433	372	15-433	419	514
HSKHDBE01ACZCR	93-139	47	15-139	125	564
HSKHDBE01CANBB	57-499	443	15-499	485	537
HSKHDBE01CINVR	56-418	363	15-418	404	525
HSKHDBE01A65WW	56-492	437	15-492	478	511
HSKHDBE01DLM9J	59-486	428	15-486	472	532
HSKHDBE01C2LSK	55-500	446	15-500	486	514
HSKHDBE01BOGN2	56-333	278	15-348	334	532
HSKHDBE01BA0PV	58-385	328	15-385	371	515
HSKHDBE01CCPZ1	61-425	365	15-425	411	516
HSKHDBE01DAGEJ	57-434	378	15-434	420	511
HSKHDBE01DO6G3	56-287	232	15-287	273	599
HSKHDBE01BS5E9	57-364	308	15-364	350	542
HSKHDBE01D6HSL	58-75	18	15-75	61	551
HSKHDBE01D80UE	92-470	379	15-470	456	520
HSKHDBE01EL9LP	56-317	262	15-317	303	572
HSKHDBE01D81SD	57-148	92	15-148	134	555
HSKHDBE01ETHXP	36-36	1	15-50	36	879
HSKHDBE01BQEP1	55-393	339	15-393	379	539
HSKHDBE01EGD4X	57-241	185	15-241	227	609
HSKHDBE01DRMH7	58-383	326	15-404	390	538
HSKHDBE01B8S2V	55-445	391	15-445	431	524
HSKHDBE01BHT8R	55-510	456	15-511	497	522
HSKHDBE01D3UNM	55-525	471	15-525	511	527
HSKHDBE01CZORE	56-445	390	15-445	431	516
HSKHDBE01ARGPW	57-304	248	15-304	290	503
HSKHDBE01CM84D	56-358	303	15-371	357	563
HSKHDBE01BPAYT	57-488	432	15-488	474	540
HSKHDBE01CDKEI	56-249	194	15-249	235	519
HSKHDBE01B1BEM	54-417	364	15-417	403	513
HSKHDBE01DTA97	57-520	464	15-520	506	527
HSKHDBE01ATO1N	58-472	415	15-472	458	511
HSKHDBE01EQMQU	59-503	445	15-503	489	517
HSKHDBE01AWNWK	53-53	1	15-53	39	630
HSKHDBE01BMCV9	55-373	319	15-373	359	518
HSKHDBE01B6W4K	57-406	350	15-406	392	528
HSKHDBE01BL3W7	55-394	340	15-394	380	516
HSKHDBE01DRNNI	53-528	476	15-528	514	534
HSKHDBE01EXM33	56-440	385	15-453	439	551
HSKHDBE01E0R7W	59-466	408	15-466	452	510
HSKHDBE01BX92I	59-437	379	15-437	423	516
HSKHDBE01A7HJY	57-469	413	15-469	455	504
HSKHDBE01B4LIX	60-379	320	15-379	365	500
HSKHDBE01DYYMW	56-490	435	15-490	476	495
HSKHDBE01ALFTI	56-436	381	15-453	439	562
HSKHDBE01BQNRE	93-461	369	15-461	447	522
HSKHDBE01BC4KO	56-362	307	15-362	348	397
HSKHDBE01EWRHQ	53-350	298	15-350	336	543
HSKHDBE01A3Z9K	37-413	377	15-413	399	506
HSKHDBE01DSI03	56-436	381	15-436	422	510
HSKHDBE01B1PQD	61-465	405	15-497	483	519
HSKHDBE01D6U27	59-476	418	15-476	462	510
HSKHDBE01EQZ50	58-497	440	14-497	484	514
HSKHDBE01C0DQF	56-352	297	15-352	338	522
HSKHDBE01DTV7E	59-403	345	15-403	389	476
HSKHDBE01AQSV4	56-66	11	15-66	52	523
HSKHDBE01DV5U3	57-498	442	15-498	484	548
HSKHDBE01A6531	36-36	1	15-73	59	732
HSKHDBE01AP1C1	59-266	208	15-266	252	364
HSKHDBE01A1QXI	56-77	22	15-77	63	958
HSKHDBE01ATHD9	51-51	1	15-51	37	746
HSKHDBE01EH3KS	57-503	447	15-503	489	525
HSKHDBE01B6MN1	56-60	5	15-60	46	641
HSKHDBE01B53J4	57-496	440	15-496	482	528
HSKHDBE01AP6O9	55-456	402	15-456	442	523
HSKHDBE01B04ZX	57-371	315	15-384	370	505
HSKHDBE01BX2G1	55-275	221	15-275	261	575
HSKHDBE01AZH3M	59-378	320	15-409	395	529
HSKHDBE01EJTM7	55-459	405	15-459	445	518
HSKHDBE01CCREC	55-243	189	15-243	229	244
HSKHDBE01CW0SQ	62-484	423	15-484	470	512
HSKHDBE01CJF5L	57-461	405	15-461	447	534
HSKHDBE01CO4JI	56-363	308	15-363	349	367
HSKHDBE01EDVBU	54-457	404	15-457	443	525
HSKHDBE01AP9B5	59-378	320	15-411	397	533
HSKHDBE01CGZ2Q	93-484	392	15-484	470	521
HSKHDBE01ELTH2	54-348	295	15-373	359	519
HSKHDBE01DI26Z	58-452	395	15-452	438	529
HSKHDBE01C1PBV	56-249	194	15-249	235	605
HSKHDBE01CX57Y	59-468	410	15-468	454	507
HSKHDBE01DRR7R	59-384	326	15-404	390	518
HSKHDBE01BM4QX	58-190	133	15-190	176	530
HSKHDBE01EPGS3	59-506	448	15-506	492	526
HSKHDBE01EQGU8	56-485	430	15-485	471	519
HSKHDBE01BEEHP	59-361	303	15-361	347	592
HSKHDBE01DPSRQ	55-354	300	15-354	340	577
HSKHDBE01BVBF0	58-186	129	15-186	172	188
HSKHDBE01D7RQ8	57-493	437	15-493	479	538
HSKHDBE01DW7CZ	57-409	353	15-409	395	498
HSKHDBE01ENKJC	57-301	245	15-327	313	519
HSKHDBE01CP8RB	59-296	238	15-296	282	298
HSKHDBE01E4KZ8	57-339	283	15-339	325	547
HSKHDBE01BNGGZ	56-402	347	15-402	388	503
HSKHDBE01A74EQ	56-428	373	15-428	414	548
HSKHDBE01BIYM3	57-236	180	15-236	222	517
HSKHDBE01DTGVW	53-112	60	15-112	98	550
HSKHDBE01CLZIX	56-483	428	15-483	469	502
HSKHDBE01BR8BW	54-345	292	15-345	331	541
HSKHDBE01EUKQG	54-481	428	15-481	467	495
HSKHDBE01DAUEA	53-353	301	14-353	340	505
HSKHDBE01BW87O	53-355	303	15-355	341	545
HSKHDBE01EQX3Q	59-106	48	15-106	92	339
HSKHDBE01EDCXW	55-459	405	15-459	445	514
HSKHDBE01CX7SP	56-311	256	15-311	297	313
HSKHDBE01CUTEE	61-225	165	15-225	211	615
HSKHDBE01AZ0P6	59-495	437	15-495	481	529
HSKHDBE01BSPEA	59-498	440	15-498	484	534
HSKHDBE01C4R9T	55-173	119	15-173	159	823
HSKHDBE01AYTZS	59-254	196	15-254	240	332
HSKHDBE01EMV3M	58-62	5	15-62	48	551
HSKHDBE01DSUOZ	59-240	182	15-240	226	524
HSKHDBE01CBOBV	53-53	1	15-53	39	840
HSKHDBE01ENLSN	54-61	8	15-61	47	651
HSKHDBE01D2F8P	55-400	346	15-400	386	541
HSKHDBE01BD0VP	56-354	299	15-354	340	513
HSKHDBE01EJ5XV	59-328	270	15-328	314	524
HSKHDBE01A1AGL	56-425	370	15-425	411	513
HSKHDBE01B62UF	56-469	414	15-469	455	492
HSKHDBE01AM5DG	56-363	308	15-363	349	519
HSKHDBE01B8S7H	59-495	437	15-495	481	529
HSKHDBE01CSFCH	56-246	191	15-246	232	248
HSKHDBE01AI3YL	54-351	298	15-353	339	504
HSKHDBE01DFZWY	59-132	74	15-133	119	643
HSKHDBE01CLVYK	56-490	435	15-490	476	534
HSKHDBE01B21M8	56-344	289	15-344	330	506
HSKHDBE01AFKSU	57-194	138	15-194	180	774
HSKHDBE01DIK22	57-170	114	15-172	158	793
HSKHDBE01DQ99F	58-108	51	15-108	94	660
HSKHDBE01EHA8M	55-328	274	15-328	314	526
HSKHDBE01D4FAV	62-482	421	15-482	468	512
HSKHDBE01AXQ69	59-462	404	15-462	448	507
HSKHDBE01CABWV	58-356	299	15-356	342	587
HSKHDBE01DTEDZ	55-389	335	15-389	375	530
HSKHDBE01CZT0G	62-426	365	15-426	412	514
HSKHDBE01CK7QF	58-340	283	15-340	326	514
HSKHDBE01DXHZ0	58-365	308	15-365	351	527
HSKHDBE01CZ8E1	56-516	461	15-516	502	522
HSKHDBE01EYFCT	55-465	411	15-465	451	525
HSKHDBE01C4SN8	58-482	425	15-482	468	511
HSKHDBE01AX82H	57-62	6	15-62	48	360
HSKHDBE01CW15N	54-408	355	15-420	406	511
HSKHDBE01CFRWG	56-491	436	15-491	477	497
HSKHDBE01DY86Y	59-494	436	15-494	480	529
HSKHDBE01B5IYT	57-331	275	15-331	317	494
HSKHDBE01EKR7A	56-429	374	15-429	415	500
HSKHDBE01EHCRD	56-405	350	15-405	391	522
HSKHDBE01D9EZW	56-408	353	15-408	394	496
HSKHDBE01BIM8I	59-499	441	15-499	485	520
HSKHDBE01BGWW5	55-398	344	15-398	384	523
HSKHDBE01ENUHC	57-419	363	15-419	405	517
HSKHDBE01C0ARL	62-409	348	15-409	395	512
HSKHDBE01DI47M	58-488	431	15-488	474	517
HSKHDBE01BO3FL	62-325	264	15-325	311	522
HSKHDBE01D2U44	54-461	408	15-468	454	522
HSKHDBE01BSNR7	62-451	390	15-451	437	514
HSKHDBE01BT1T5	55-344	290	15-344	330	519
HSKHDBE01ANQPO	53-391	339	15-391	377	540
HSKHDBE01D7GQM	55-447	393	15-447	433	516
HSKHDBE01BNMQ7	57-342	286	15-342	328	495
HSKHDBE01BUCHW	56-409	354	15-409	395	532
HSKHDBE01DIC22	15-401	387	15-401	387	546
HSKHDBE01B0LJA	57-461	405	15-461	447	501
HSKHDBE01CMDR5	89-450	362	15-459	445	555
HSKHDBE01DVURP	57-432	376	15-432	418	542
HSKHDBE01DRGD5	55-352	298	15-352	338	561
HSKHDBE01A2XQH	59-480	422	15-480	466	526
HSKHDBE01EAIPA	56-120	65	15-120	106	589
HSKHDBE01BLT10	37-253	217	15-253	239	509
HSKHDBE01A84JM	56-410	355	15-410	396	515
HSKHDBE01BZWRX	58-60	3	15-60	46	685
HSKHDBE01A7KPO	56-87	32	15-87	73	749
HSKHDBE01CI5U4	57-428	372	15-428	414	526
HSKHDBE01B8DN3	57-120	64	15-120	106	531
HSKHDBE01CZ3I1	55-411	357	15-411	397	519
HSKHDBE01EPNCO	55-455	401	15-455	441	530
HSKHDBE01D6GE2	55-445	391	15-445	431	525
HSKHDBE01AGMA4	56-371	316	15-371	357	494
HSKHDBE01CA569	59-380	322	15-415	401	531
HSKHDBE01AR87X	55-384	330	15-384	370	513
HSKHDBE01DXWPT	56-470	415	15-470	456	517
HSKHDBE01BUK6Z	56-196	141	14-196	183	513
HSKHDBE01B9DPW	56-472	417	15-472	458	495
HSKHDBE01E0J6D	59-328	270	15-328	314	533
HSKHDBE01ANVEP	58-373	316	15-403	389	511
HSKHDBE01BO5I1	56-360	305	15-360	346	532
HSKHDBE01AFX9O	55-390	336	15-390	376	528
HSKHDBE01B2ID7	54-336	283	15-336	322	539
HSKHDBE01ASGYR	57-86	30	15-86	72	871
HSKHDBE01EUMV9	62-250	189	15-250	236	373
HSKHDBE01C9BXL	56-412	357	15-420	406	517
HSKHDBE01EAWWM	38-46	9	15-46	32	804
HSKHDBE01C7SEO	61-465	405	15-481	467	519
HSKHDBE01DSNNW	59-125	67	15-125	111	537
HSKHDBE01A30C6	57-455	399	15-455	441	543
HSKHDBE01DPAC9	57-426	370	15-426	412	549
HSKHDBE01BCRBN	56-439	384	15-439	425	559
HSKHDBE01AKZIB	57-86	30	15-97	83	570
HSKHDBE01CUEU8	59-485	427	15-485	471	515
HSKHDBE01DANSS	36-36	1	15-67	53	542
HSKHDBE01EN3AE	56-443	388	15-443	429	498
HSKHDBE01C7OKB	56-382	327	15-382	368	530
HSKHDBE01CMGL1	58-502	445	15-502	488	519
HSKHDBE01AHCUG	57-304	248	15-304	290	575
HSKHDBE01EUEBQ	56-513	458	15-513	499	521
HSKHDBE01DWSUM	57-436	380	15-436	422	509
HSKHDBE01AK03K	56-306	251	15-306	292	577
HSKHDBE01ACO0V	55-55	1	15-55	41	687
HSKHDBE01EAZTJ	48-48	1	15-48	34	950
HSKHDBE01EUNRV	56-460	405	15-460	446	564
HSKHDBE01B7IQQ	56-414	359	15-414	400	518
HSKHDBE01CT0MC	59-197	139	15-197	183	680
HSKHDBE01BGOPY	56-412	357	15-420	406	505
HSKHDBE01CYJP2	55-370	316	15-370	356	520
HSKHDBE01DL8DQ	56-367	312	15-367	353	497
HSKHDBE01EYTX4	54-159	106	15-159	145	681
HSKHDBE01DTR7I	59-476	418	15-476	462	525
HSKHDBE01EXXFT	58-497	440	15-497	483	515
HSKHDBE01ECV98	58-231	174	15-265	251	546
HSKHDBE01BPAZL	57-422	366	15-422	408	509
HSKHDBE01CNFC1	55-454	400	15-454	440	529
HSKHDBE01ATF5O	56-489	434	15-489	475	495
HSKHDBE01DWYSL	59-496	438	15-509	495	513
HSKHDBE01EDXML	58-406	349	15-414	400	531
HSKHDBE01DPZF4	57-403	347	15-404	390	496
HSKHDBE01EQD0O	56-129	74	15-153	139	524
HSKHDBE01B0HJZ	54-276	223	15-276	262	541
HSKHDBE01CF8WW	54-522	469	15-522	508	525
HSKHDBE01DGT44	46-46	1	15-46	32	647
HSKHDBE01B7Y2D	56-259	204	15-259	245	670
HSKHDBE01DJCD4	56-56	1	15-56	42	554
HSKHDBE01AVW73	58-330	273	15-351	337	518
HSKHDBE01BHGAR	57-398	342	15-398	384	505
HSKHDBE01AI5PJ	54-461	408	15-476	462	518
