Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HNV3Z9J01C3GYS	56-262	207	15-262	248	265
HNV3Z9J01B8JN1	39-81	43	15-81	67	373
HNV3Z9J01DML6A	36-36	1	15-54	40	579
HNV3Z9J01C4KUO	59-351	293	15-351	337	492
HNV3Z9J01ES823	58-71	14	15-71	57	107
HNV3Z9J01DAKO5	38-79	42	15-79	65	242
HNV3Z9J01AWDCW	57-146	90	15-193	179	256
HNV3Z9J01CMAJF	93-115	23	15-115	101	126
HNV3Z9J01AW39Q	59-333	275	15-333	319	336
HNV3Z9J01DQMY2	59-134	76	15-142	128	565
HNV3Z9J01BTYJZ	61-161	101	15-185	171	224
HNV3Z9J01C6OVQ	60-118	59	15-118	104	132
HNV3Z9J01BT18F	58-350	293	15-350	336	354
HNV3Z9J01EUODA	37-59	23	15-59	45	173
HNV3Z9J01EPQJ4	58-317	260	15-317	303	319
HNV3Z9J01BIGG3	57-230	174	15-230	216	232
HNV3Z9J01BLS6J	58-334	277	15-334	320	338
HNV3Z9J01AUY9Y	57-198	142	15-198	184	200
HNV3Z9J01ARIXC	58-223	166	15-223	209	544
HNV3Z9J01CI5U2	56-263	208	15-263	249	265
HNV3Z9J01ALSJO	37-402	366	15-402	388	535
HNV3Z9J01ELRXD	61-306	246	15-306	292	481
HNV3Z9J01COFRT	57-84	28	15-118	104	641
HNV3Z9J01AOV9W	59-400	342	15-400	386	424
HNV3Z9J01ETRC9	93-122	30	15-122	108	126
HNV3Z9J01BILIP	61-368	308	15-368	354	372
HNV3Z9J01CANPJ	59-479	421	15-479	465	500
HNV3Z9J01ELJD7	59-155	97	15-155	141	180
HNV3Z9J01CAO3X	57-183	127	15-183	169	197
HNV3Z9J01AS07C	59-239	181	15-291	277	320
HNV3Z9J01A9VL3	58-311	254	15-311	297	324
HNV3Z9J01CVLA5	37-371	335	15-371	357	384
HNV3Z9J01DM35O	57-196	140	15-196	182	216
HNV3Z9J01DOXTO	61-369	309	15-369	355	373
HNV3Z9J01B3ACL	59-243	185	15-243	229	245
HNV3Z9J01BNJXX	57-146	90	15-192	178	233
HNV3Z9J01BP3SO	60-205	146	15-205	191	374
HNV3Z9J01BZ79F	59-240	182	15-247	233	317
HNV3Z9J01D0I3B	58-91	34	15-91	77	93
HNV3Z9J01B9XE7	58-231	174	15-231	217	265
HNV3Z9J01EV0DP	59-237	179	15-237	223	251
HNV3Z9J01BRCFD	61-174	114	15-183	169	455
HNV3Z9J01A29IW	36-36	1	15-51	37	395
HNV3Z9J01EC6JV	60-154	95	15-154	140	377
HNV3Z9J01CKFOJ	37-65	29	15-101	87	126
HNV3Z9J01DIG0Y	58-387	330	15-387	373	390
HNV3Z9J01BCLHG	59-208	150	15-208	194	218
HNV3Z9J01C976D	38-46	9	15-46	32	136
HNV3Z9J01DBFNY	58-130	73	15-143	129	257
HNV3Z9J01ECHJB	56-438	383	15-438	424	445
HNV3Z9J01A9IBQ	58-331	274	15-331	317	335
HNV3Z9J01EBIPN	78-387	310	15-401	387	539
HNV3Z9J01A531X	61-455	395	15-455	441	462
HNV3Z9J01BC21X	60-180	121	15-180	166	197
HNV3Z9J01AG4B1	57-200	144	15-200	186	209
HNV3Z9J01C23M3	63-194	132	15-203	189	281
HNV3Z9J01DNOIH	58-309	252	15-309	295	312
HNV3Z9J01C5LUZ	37-139	103	15-139	125	374
HNV3Z9J01AZFL2	58-209	152	15-219	205	346
HNV3Z9J01DV54A	58-205	148	15-205	191	215
HNV3Z9J01EBYBP	61-195	135	15-210	196	281
HNV3Z9J01DA2KL	32-32	1	15-56	42	334
HNV3Z9J01BJ7UZ	60-187	128	15-187	173	201
HNV3Z9J01EVYNO	56-265	210	15-265	251	268
HNV3Z9J01CK2V4	56-260	205	15-260	246	283
HNV3Z9J01EVHB4	94-127	34	15-127	113	129
HNV3Z9J01D524N	37-141	105	15-173	159	252
HNV3Z9J01BG51O	62-111	50	15-152	138	207
HNV3Z9J01C0WK6	36-36	1	15-70	56	278
HNV3Z9J01ELA9S	58-88	31	15-88	74	94
HNV3Z9J01CBFP5	58-162	105	15-162	148	193
HNV3Z9J01DY5TL	31-31	1	15-55	41	354
HNV3Z9J01DSM85	56-311	256	15-311	297	321
HNV3Z9J01BXQ8I	40-119	80	15-119	105	516
HNV3Z9J01BJOZS	58-447	390	15-473	459	524
HNV3Z9J01BZ6AM	57-217	161	15-217	203	228
HNV3Z9J01CU2HT	36-36	1	15-81	67	111
HNV3Z9J01BAGBN	83-230	148	15-230	216	232
HNV3Z9J01BFWI9	61-519	459	15-519	505	534
HNV3Z9J01C03UD	58-333	276	15-333	319	335
HNV3Z9J01BIV65	58-486	429	15-489	475	513
HNV3Z9J01AJFNJ	58-223	166	15-223	209	566
HNV3Z9J01AU4OF	37-447	411	15-479	465	542
HNV3Z9J01A6SBC	61-104	44	15-104	90	579
HNV3Z9J01BTID4	37-55	19	15-55	41	654
HNV3Z9J01A5U6Y	83-230	148	15-230	216	232
HNV3Z9J01D0XDL	36-36	1	15-56	42	539
HNV3Z9J01BCX7W	58-169	112	15-169	155	170
HNV3Z9J01D8TYY	59-346	288	15-346	332	366
HNV3Z9J01AFKTZ	59-336	278	15-336	322	347
HNV3Z9J01B2UVJ	58-368	311	15-368	354	529
HNV3Z9J01A0T5O	66-396	331	15-396	382	483
HNV3Z9J01DN2BU	58-465	408	15-465	451	469
HNV3Z9J01BGBF4	37-110	74	15-110	96	111
HNV3Z9J01BO39Q	57-238	182	15-287	273	322
HNV3Z9J01BGS9D	94-127	34	15-127	113	130
HNV3Z9J01CE0O8	37-410	374	15-410	396	500
HNV3Z9J01AIDIK	37-308	272	15-308	294	311
HNV3Z9J01D7XOF	56-266	211	15-266	252	269
HNV3Z9J01CSYUQ	57-311	255	15-311	297	314
HNV3Z9J01DNY0H	58-488	431	15-488	474	492
HNV3Z9J01EF9TN	59-258	200	15-310	296	346
HNV3Z9J01AOAKZ	57-234	178	15-234	220	329
HNV3Z9J01AMBOT	58-384	327	15-384	370	407
HNV3Z9J01BC9SF	37-289	253	15-289	275	549
HNV3Z9J01CLV97	59-478	420	15-478	464	508
HNV3Z9J01AG5F8	59-396	338	15-396	382	540
HNV3Z9J01ER8HM	58-218	161	15-218	204	235
HNV3Z9J01BH10W	62-477	416	15-483	469	517
HNV3Z9J01BFGWX	57-125	69	15-125	111	228
HNV3Z9J01DAFHJ	61-110	50	15-138	124	163
HNV3Z9J01BQ1D0	58-225	168	15-225	211	227
HNV3Z9J01BE735	61-398	338	15-429	415	461
HNV3Z9J01AXI3K	55-55	1	15-55	41	506
HNV3Z9J01BROLS	37-440	404	15-440	426	504
HNV3Z9J01AUU4U	59-511	453	15-519	505	533
HNV3Z9J01BE473	61-335	275	15-335	321	349
HNV3Z9J01A6C6G	77-144	68	15-144	130	561
HNV3Z9J01DEYJA	36-36	1	15-56	42	374
HNV3Z9J01AW16Q	59-484	426	15-484	470	500
HNV3Z9J01BE0XG	58-326	269	15-326	312	336
HNV3Z9J01CV681	61-337	277	15-337	323	348
HNV3Z9J01ALFUX	59-478	420	15-478	464	510
HNV3Z9J01CYCTY	57-97	41	15-97	83	488
HNV3Z9J01AQWDW	58-326	269	15-326	312	337
HNV3Z9J01A5SR9	57-201	145	15-201	187	236
HNV3Z9J01DLDNW	58-91	34	15-91	77	93
HNV3Z9J01DNDET	61-373	313	15-408	394	527
HNV3Z9J01EXGLE	59-208	150	15-208	194	210
HNV3Z9J01BM0VS	58-79	22	15-79	65	93
HNV3Z9J01CMYAP	57-231	175	15-231	217	233
HNV3Z9J01D8UZO	58-459	402	15-507	493	510
HNV3Z9J01BI4ND	58-473	416	15-473	459	526
HNV3Z9J01CDQRP	37-82	46	15-82	68	534
HNV3Z9J01DKU2T	37-52	16	15-52	38	259
HNV3Z9J01D3AS9	57-332	276	15-332	318	335
HNV3Z9J01EDV5C	61-193	133	15-193	179	217
HNV3Z9J01EED2Z	59-492	434	15-492	478	502
HNV3Z9J01CUTXX	60-474	415	15-474	460	491
HNV3Z9J01BBY4H	59-485	427	15-485	471	500
