Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HNV3Z9J01A1NID	65-165	101	15-165	151	532
HNV3Z9J01CKR4M	59-493	435	15-493	479	533
HNV3Z9J01ACPKV	60-392	333	15-392	378	514
HNV3Z9J01CVEQ3	60-426	367	15-426	412	445
HNV3Z9J01D3IRZ	61-357	297	15-357	343	519
HNV3Z9J01AEPQ1	60-429	370	15-430	416	531
HNV3Z9J01DYIX1	37-360	324	15-360	346	510
HNV3Z9J01A5X78	38-83	46	15-83	69	606
HNV3Z9J01DUABJ	58-322	265	15-322	308	523
HNV3Z9J01EZ7YC	37-274	238	15-274	260	277
HNV3Z9J01CPELD	59-388	330	15-388	374	502
HNV3Z9J01BOKHV	60-503	444	15-503	489	526
HNV3Z9J01DEZ3R	37-37	1	15-66	52	529
HNV3Z9J01BIL9G	60-427	368	15-464	450	507
HNV3Z9J01DP1YX	38-86	49	15-86	72	584
HNV3Z9J01DOMI0	60-467	408	15-467	453	492
HNV3Z9J01DSGQ8	61-466	406	15-466	452	518
HNV3Z9J01DO4K1	60-269	210	15-269	255	549
HNV3Z9J01BFOP0	61-371	311	15-419	405	483
HNV3Z9J01EIVCM	37-450	414	15-450	436	467
HNV3Z9J01CZQMZ	60-489	430	15-489	475	492
HNV3Z9J01C8DI4	60-456	397	15-456	442	493
HNV3Z9J01BU3W5	59-382	324	15-382	368	497
HNV3Z9J01DS4YT	72-486	415	15-486	472	533
HNV3Z9J01BH120	79-382	304	15-382	368	533
HNV3Z9J01BP8YM	37-375	339	15-375	361	381
HNV3Z9J01AMZ5J	57-210	154	15-210	196	620
HNV3Z9J01DLF81	79-200	122	15-200	186	534
HNV3Z9J01A78ZU	61-365	305	15-377	363	518
HNV3Z9J01D3TJN	65-491	427	15-491	477	540
HNV3Z9J01ENVS3	60-372	313	15-385	371	503
HNV3Z9J01DFPKG	58-64	7	15-64	50	363
HNV3Z9J01EN8MY	63-78	16	15-78	64	676
HNV3Z9J01CB8XU	60-336	277	15-336	322	523
HNV3Z9J01EE84Y	37-378	342	15-378	364	519
HNV3Z9J01BK2CD	61-133	73	15-133	119	552
HNV3Z9J01BMVAS	37-404	368	15-404	390	570
HNV3Z9J01EMARK	59-227	169	15-227	213	611
HNV3Z9J01BLBWL	37-263	227	15-263	249	506
HNV3Z9J01DQ59A	61-470	410	15-470	456	528
HNV3Z9J01EDIR9	37-399	363	15-399	385	515
HNV3Z9J01DJ1B6	58-179	122	15-179	165	436
HNV3Z9J01A3POO	59-451	393	15-461	447	494
HNV3Z9J01A9CO4	59-436	378	15-436	422	493
HNV3Z9J01AV3FI	60-264	205	15-264	250	268
HNV3Z9J01CYJEE	59-361	303	15-361	347	523
HNV3Z9J01CXVPO	37-344	308	15-344	330	494
HNV3Z9J01AFPBJ	58-481	424	15-500	486	531
HNV3Z9J01AHUP0	62-337	276	15-337	323	520
HNV3Z9J01D1OLA	61-418	358	15-418	404	535
HNV3Z9J01EOLTP	38-38	1	15-65	51	655
HNV3Z9J01DKE2E	81-392	312	15-403	389	541
HNV3Z9J01CA8YV	59-380	322	15-380	366	508
HNV3Z9J01DHB4O	38-425	388	15-433	419	533
HNV3Z9J01CPYLD	61-128	68	15-142	128	839
HNV3Z9J01DLSUC	58-516	459	15-516	502	519
HNV3Z9J01BVPUY	58-401	344	15-415	401	527
HNV3Z9J01DHQR5	60-477	418	15-487	473	521
HNV3Z9J01EDTQ1	58-458	401	15-458	444	525
HNV3Z9J01CNXNB	60-344	285	15-344	330	521
HNV3Z9J01AEEZB	58-439	382	15-439	425	522
HNV3Z9J01A1BEB	37-47	11	15-47	33	524
HNV3Z9J01A85AC	73-436	364	15-452	438	535
HNV3Z9J01APHLS	37-391	355	15-391	377	534
HNV3Z9J01EQMNM	58-368	311	15-382	368	473
HNV3Z9J01B6R2J	61-365	305	15-365	351	511
HNV3Z9J01DQTM2	58-464	407	15-464	450	473
HNV3Z9J01CU5OV	58-433	376	15-433	419	499
HNV3Z9J01DMEZM	66-362	297	15-362	348	493
HNV3Z9J01CCPW8	59-450	392	15-450	436	531
HNV3Z9J01CDR7X	59-416	358	15-459	445	505
HNV3Z9J01AGWXV	59-175	117	15-175	161	825
HNV3Z9J01AFY8B	59-384	326	15-384	370	505
HNV3Z9J01DTIIX	38-78	41	15-78	64	646
HNV3Z9J01BR39T	59-430	372	15-430	416	511
HNV3Z9J01AFB1D	58-369	312	15-429	415	468
HNV3Z9J01APJPE	60-413	354	15-413	399	523
HNV3Z9J01AM5C8	59-455	397	15-455	441	510
HNV3Z9J01B5EOJ	63-109	47	15-109	95	953
HNV3Z9J01BYTHU	61-468	408	15-468	454	527
HNV3Z9J01AJD2D	37-433	397	15-433	419	511
HNV3Z9J01AK9K7	77-351	275	15-351	337	510
HNV3Z9J01AMO70	37-473	437	15-473	459	535
HNV3Z9J01CO3V9	56-455	400	15-463	449	499
HNV3Z9J01BMI82	61-404	344	15-414	400	520
HNV3Z9J01D3RQH	61-405	345	15-416	402	573
HNV3Z9J01D7OMG	61-461	401	15-461	447	540
HNV3Z9J01BT13L	60-138	79	15-159	145	526
HNV3Z9J01DS6ML	37-488	452	15-511	497	528
HNV3Z9J01C315S	37-384	348	15-384	370	514
HNV3Z9J01D2LWB	37-323	287	15-323	309	522
HNV3Z9J01BWYZK	37-37	1	15-74	60	518
HNV3Z9J01CSLFB	61-416	356	15-416	402	490
HNV3Z9J01D0A45	58-438	381	15-438	424	524
HNV3Z9J01B7SJE	61-215	155	15-215	201	533
HNV3Z9J01CLNZ4	58-359	302	15-374	360	509
HNV3Z9J01ASEXW	58-335	278	15-335	321	354
HNV3Z9J01BPCG5	62-399	338	15-399	385	526
HNV3Z9J01B4ZQW	58-401	344	15-426	412	525
HNV3Z9J01DQSLZ	57-343	287	15-343	329	516
HNV3Z9J01BH52F	59-208	150	15-208	194	210
HNV3Z9J01CG3F2	61-479	419	15-479	465	521
HNV3Z9J01D243R	60-177	118	15-177	163	549
HNV3Z9J01DU31M	58-322	265	15-322	308	544
HNV3Z9J01CG7O2	61-296	236	15-296	282	558
HNV3Z9J01B8LJC	62-512	451	15-512	498	517
HNV3Z9J01AP7WL	60-449	390	15-449	435	536
HNV3Z9J01C6672	59-493	435	15-493	479	532
HNV3Z9J01BX0MS	61-339	279	15-339	325	528
HNV3Z9J01A4ZWJ	59-384	326	15-384	370	564
HNV3Z9J01D6AT3	41-41	1	16-85	70	484
HNV3Z9J01A8V6A	38-105	68	15-105	91	1002
HNV3Z9J01AGWD9	56-471	416	15-471	457	510
HNV3Z9J01DQXTN	58-502	445	15-502	488	511
HNV3Z9J01CGUE8	59-388	330	15-388	374	534
HNV3Z9J01EPEIT	59-498	440	15-498	484	536
HNV3Z9J01DXMZD	59-110	52	15-127	113	549
HNV3Z9J01COJN4	57-400	344	15-407	393	511
HNV3Z9J01CHSSS	37-341	305	15-341	327	525
HNV3Z9J01AHSZT	61-468	408	15-468	454	516
HNV3Z9J01A2MFU	61-331	271	15-368	354	523
HNV3Z9J01DNYFE	61-452	392	15-452	438	521
HNV3Z9J01BY4WX	59-430	372	15-430	416	513
HNV3Z9J01BASCQ	57-149	93	15-158	144	713
HNV3Z9J01D143T	37-122	86	15-122	108	559
HNV3Z9J01EEPI2	61-211	151	15-219	205	507
HNV3Z9J01AR1TJ	38-216	179	15-216	202	549
HNV3Z9J01CNA7K	37-388	352	15-388	374	543
HNV3Z9J01BXTGX	58-450	393	15-450	436	518
HNV3Z9J01BZSKP	44-44	1	15-62	48	586
HNV3Z9J01AY9R6	38-201	164	15-201	187	529
HNV3Z9J01EFXP7	59-390	332	15-401	387	525
HNV3Z9J01CYRF5	38-108	71	15-108	94	679
HNV3Z9J01COPND	60-521	462	15-521	507	524
HNV3Z9J01CW4RG	61-129	69	15-165	151	684
HNV3Z9J01CVWBX	37-230	194	15-230	216	576
HNV3Z9J01CI94B	59-102	44	15-106	92	332
HNV3Z9J01BN6W4	59-344	286	15-345	331	536
HNV3Z9J01DNUWD	63-304	242	15-304	290	531
HNV3Z9J01AFYRH	61-362	302	15-396	382	445
HNV3Z9J01EBZVZ	59-370	312	15-370	356	492
HNV3Z9J01DN8JS	59-450	392	15-450	436	534
HNV3Z9J01DC4O5	65-175	111	15-175	161	525
HNV3Z9J01DI97V	37-450	414	15-484	470	543
HNV3Z9J01CCAXR	60-476	417	15-476	462	532
HNV3Z9J01CD7PC	60-488	429	15-488	474	491
HNV3Z9J01A2V52	58-250	193	15-250	236	521
HNV3Z9J01A8L6Y	37-195	159	15-195	181	496
HNV3Z9J01BMYWX	59-340	282	15-340	326	508
HNV3Z9J01ASA6T	60-497	438	15-497	483	528
HNV3Z9J01EMR92	59-528	470	15-528	514	533
HNV3Z9J01D3II3	59-407	349	15-407	393	531
HNV3Z9J01ANNUF	58-358	301	15-358	344	514
HNV3Z9J01C3ZQ3	58-221	164	15-221	207	763
HNV3Z9J01AGDMQ	56-462	407	15-462	448	514
HNV3Z9J01BQ47S	60-379	320	15-379	365	532
HNV3Z9J01CD6S3	59-393	335	15-393	379	542
HNV3Z9J01ESEQ9	62-275	214	15-275	261	566
HNV3Z9J01CCS7N	60-485	426	15-485	471	531
HNV3Z9J01C8Q65	37-316	280	15-316	302	547
HNV3Z9J01C6I5P	59-459	401	15-503	489	511
HNV3Z9J01A0ANK	60-462	403	15-462	448	488
HNV3Z9J01B0X0L	37-37	1	15-49	35	621
HNV3Z9J01BCNLI	61-159	99	15-159	145	556
HNV3Z9J01DOA8C	58-346	289	15-346	332	506
HNV3Z9J01D3PLL	72-489	418	15-489	475	537
HNV3Z9J01B4FD4	63-118	56	15-125	111	570
HNV3Z9J01A41MY	37-371	335	15-371	357	512
HNV3Z9J01EKZM3	59-267	209	15-267	253	269
HNV3Z9J01CY0CT	59-460	402	15-460	446	520
HNV3Z9J01DHX3Q	58-401	344	15-401	387	500
HNV3Z9J01CV751	51-51	1	15-51	37	879
HNV3Z9J01ASPFN	37-37	1	15-52	38	582
HNV3Z9J01DLUOG	67-154	88	15-154	140	501
HNV3Z9J01AHBKX	59-292	234	15-292	278	510
HNV3Z9J01AHPD0	81-142	62	15-142	128	480
HNV3Z9J01DTF6X	60-487	428	15-487	473	530
HNV3Z9J01EXDJQ	59-456	398	15-456	442	510
HNV3Z9J01AFUTL	58-452	395	15-452	438	529
HNV3Z9J01BKYFN	61-444	384	15-444	430	524
HNV3Z9J01BLBHO	66-234	169	15-234	220	486
HNV3Z9J01ERUMR	64-77	14	15-77	63	503
HNV3Z9J01A126R	37-209	173	15-209	195	577
HNV3Z9J01BGB99	58-351	294	15-351	337	499
HNV3Z9J01B30BT	58-467	410	15-467	453	511
HNV3Z9J01BWZMS	37-373	337	15-373	359	555
HNV3Z9J01D2D34	37-385	349	15-385	371	510
HNV3Z9J01ARGD3	62-325	264	15-325	311	520
HNV3Z9J01BN5VY	57-413	357	15-413	399	477
HNV3Z9J01DFB55	60-490	431	15-490	476	519
HNV3Z9J01B53DI	58-435	378	15-435	421	527
HNV3Z9J01DHWC0	66-315	250	15-315	301	480
HNV3Z9J01ASU24	61-343	283	15-343	329	528
HNV3Z9J01BB2E7	59-380	322	15-380	366	508
HNV3Z9J01DGE2J	58-485	428	15-514	500	518
HNV3Z9J01BXVE3	37-386	350	15-388	374	502
HNV3Z9J01AZNSK	66-348	283	15-348	334	490
HNV3Z9J01C4M7X	58-320	263	15-320	306	545
HNV3Z9J01BJPSJ	59-450	392	15-450	436	495
HNV3Z9J01BX388	66-285	220	15-285	271	587
HNV3Z9J01EC86J	38-99	62	15-99	85	620
HNV3Z9J01AYCR3	58-441	384	15-441	427	515
HNV3Z9J01AJ9MY	58-161	104	15-161	147	506
HNV3Z9J01BYGBJ	60-457	398	15-457	443	537
HNV3Z9J01BKIAI	59-125	67	15-129	115	609
HNV3Z9J01B1X1J	62-366	305	15-366	352	487
HNV3Z9J01E31VS	37-53	17	15-53	39	949
HNV3Z9J01CPF2G	62-126	65	15-147	133	768
HNV3Z9J01A6X4H	61-388	328	15-388	374	524
HNV3Z9J01CXM0M	58-403	346	15-403	389	499
HNV3Z9J01D2LB5	60-501	442	15-501	487	532
HNV3Z9J01A0YBA	37-352	316	15-352	338	526
HNV3Z9J01A79ZV	57-373	317	15-373	359	525
HNV3Z9J01COCR9	60-473	414	15-473	459	516
HNV3Z9J01DE3LF	60-130	71	15-130	116	548
HNV3Z9J01CCCX3	59-374	316	15-374	360	490
HNV3Z9J01CA0LJ	61-390	330	15-390	376	544
HNV3Z9J01B1CYX	57-267	211	15-267	253	268
HNV3Z9J01DAQP2	63-115	53	15-115	101	512
HNV3Z9J01C0MP5	58-412	355	15-412	398	529
HNV3Z9J01AL9NM	38-306	269	15-306	292	561
HNV3Z9J01D0N1C	38-341	304	15-341	327	531
HNV3Z9J01BTM7G	59-211	153	15-211	197	214
HNV3Z9J01CHAHB	59-507	449	15-507	493	539
HNV3Z9J01EQEH3	60-449	390	15-449	435	518
HNV3Z9J01BQ5NW	37-37	1	15-44	30	542
HNV3Z9J01DP7VE	38-184	147	15-184	170	508
HNV3Z9J01DW2AW	59-371	313	15-371	357	495
HNV3Z9J01AXLD7	60-395	336	15-395	381	510
HNV3Z9J01EANJ1	61-337	277	15-337	323	539
HNV3Z9J01DRHKK	61-335	275	15-335	321	341
HNV3Z9J01CX7LX	37-388	352	15-388	374	514
HNV3Z9J01AQ379	56-266	211	15-266	252	268
HNV3Z9J01D77JM	58-404	347	15-404	390	500
HNV3Z9J01EMHRJ	58-450	393	15-450	436	474
HNV3Z9J01D9S59	37-421	385	15-441	427	499
HNV3Z9J01EC12Q	58-477	420	15-477	463	523
HNV3Z9J01AW7QU	60-454	395	15-454	440	518
HNV3Z9J01C65QV	37-371	335	15-371	357	374
HNV3Z9J01EN2UZ	37-169	133	15-169	155	561
HNV3Z9J01BQMBD	61-113	53	15-113	99	540
HNV3Z9J01CEZE5	58-281	224	15-281	267	491
HNV3Z9J01BY68Z	37-280	244	15-280	266	503
HNV3Z9J01CK4UO	60-337	278	15-337	323	433
HNV3Z9J01AP9E6	58-448	391	15-475	461	534
HNV3Z9J01BDGOA	57-426	370	15-426	412	481
HNV3Z9J01A3CPB	81-243	163	16-243	228	518
HNV3Z9J01A2S9N	38-338	301	15-338	324	353
HNV3Z9J01B22EG	58-358	301	15-358	344	531
HNV3Z9J01BL0HM	58-118	61	15-118	104	509
HNV3Z9J01AG84E	59-422	364	15-430	416	508
HNV3Z9J01C7QW1	59-276	218	15-276	262	535
HNV3Z9J01DPP7J	61-167	107	15-167	153	625
HNV3Z9J01DTHEH	37-57	21	15-57	43	409
HNV3Z9J01BV14W	60-432	373	15-432	418	495
HNV3Z9J01BTKH9	59-127	69	15-127	113	549
HNV3Z9J01CBO16	58-447	390	14-447	434	536
HNV3Z9J01AMSIL	37-355	319	15-355	341	510
HNV3Z9J01BRRB7	38-444	407	15-444	430	522
HNV3Z9J01BKXLR	38-140	103	15-140	126	655
HNV3Z9J01DTM7A	59-428	370	15-428	414	515
HNV3Z9J01C8D5P	38-480	443	15-524	510	529
HNV3Z9J01DF7CY	59-266	208	15-266	252	270
HNV3Z9J01EE01R	60-80	21	15-80	66	521
HNV3Z9J01DDLC7	37-37	1	15-48	34	522
HNV3Z9J01D1M41	58-397	340	15-397	383	490
HNV3Z9J01DLPWO	58-442	385	15-442	428	518
HNV3Z9J01AP56C	61-437	377	15-437	423	512
HNV3Z9J01EK3PG	66-369	304	15-369	355	496
HNV3Z9J01EAQ04	38-234	197	15-234	220	523
HNV3Z9J01DHB18	59-231	173	15-231	217	565
HNV3Z9J01DZKUM	60-453	394	15-453	439	519
HNV3Z9J01D3AQZ	60-242	183	15-242	228	537
HNV3Z9J01DFCLE	61-163	103	15-200	186	222
HNV3Z9J01BUT63	58-440	383	15-440	426	516
HNV3Z9J01BC5HS	60-330	271	15-343	329	520
HNV3Z9J01BDHP4	37-337	301	15-337	323	500
HNV3Z9J01CGRAP	58-430	373	15-430	416	519
HNV3Z9J01AZ1U1	38-390	353	15-390	376	499
HNV3Z9J01DUHGE	37-303	267	15-303	289	550
HNV3Z9J01CT3DC	56-312	257	15-312	298	315
HNV3Z9J01CTF98	62-346	285	15-346	332	351
HNV3Z9J01B1DDG	37-37	1	15-59	45	613
HNV3Z9J01CEXOW	60-412	353	15-412	398	494
HNV3Z9J01DMN18	38-355	318	15-355	341	532
HNV3Z9J01CNO74	37-37	1	15-70	56	556
HNV3Z9J01CRB7T	58-479	422	15-500	486	535
HNV3Z9J01DZITC	77-129	53	15-129	115	830
HNV3Z9J01B3E9B	37-179	143	15-179	165	536
HNV3Z9J01BLWWU	59-321	263	15-349	335	378
HNV3Z9J01DFPSW	59-493	435	15-493	479	500
HNV3Z9J01EATTL	38-64	27	15-64	50	573
HNV3Z9J01BE7K6	59-371	313	15-383	369	497
HNV3Z9J01BW37L	60-496	437	15-496	482	522
HNV3Z9J01AZEBG	63-276	214	15-276	262	532
HNV3Z9J01AKSOX	16-77	62	16-77	62	691
HNV3Z9J01DE02D	60-442	383	15-442	428	516
HNV3Z9J01B9I37	61-365	305	15-365	351	506
HNV3Z9J01CB1SW	56-474	419	15-474	460	512
HNV3Z9J01AVE3I	58-429	372	15-429	415	518
HNV3Z9J01B5E6E	80-470	391	15-470	456	477
HNV3Z9J01DSX1R	60-429	370	15-465	451	511
HNV3Z9J01A5871	59-386	328	15-386	372	535
HNV3Z9J01AT0R1	58-305	248	15-305	291	524
HNV3Z9J01D4CYV	56-476	421	15-476	462	530
HNV3Z9J01BQGQ0	61-350	290	15-350	336	527
HNV3Z9J01BRJFL	60-429	370	15-443	429	514
HNV3Z9J01BYG5L	59-280	222	15-280	266	498
HNV3Z9J01D262C	57-454	398	15-454	440	505
HNV3Z9J01AD43H	61-167	107	15-167	153	542
HNV3Z9J01CVWOM	58-433	376	15-433	419	516
HNV3Z9J01ENJD0	36-36	1	15-64	50	697
HNV3Z9J01B20TR	62-318	257	15-318	304	507
HNV3Z9J01BV85A	58-511	454	15-511	497	522
HNV3Z9J01AC31D	38-384	347	15-384	370	552
HNV3Z9J01A1W1K	59-350	292	15-350	336	556
HNV3Z9J01BHQF3	60-339	280	15-339	325	524
HNV3Z9J01EMUBF	60-476	417	15-476	462	531
HNV3Z9J01DFFF7	57-458	402	15-458	444	506
HNV3Z9J01BCH56	62-321	260	15-321	307	529
HNV3Z9J01EKXWT	59-307	249	15-307	293	511
HNV3Z9J01EFW0F	58-472	415	15-472	458	520
HNV3Z9J01DIHNT	38-189	152	15-189	175	548
HNV3Z9J01DT41X	59-382	324	15-382	368	524
HNV3Z9J01ESL70	60-117	58	15-117	103	1005
HNV3Z9J01DA00J	37-378	342	15-378	364	495
HNV3Z9J01EEDEF	59-466	408	15-466	452	509
HNV3Z9J01CKDIV	58-406	349	15-406	392	463
HNV3Z9J01CR9FJ	58-313	256	15-314	300	513
HNV3Z9J01ANWP6	57-498	442	15-510	496	529
HNV3Z9J01BOCCR	37-453	417	15-453	439	532
HNV3Z9J01A8AKW	60-316	257	15-316	302	528
HNV3Z9J01A4V0C	59-382	324	15-382	368	533
HNV3Z9J01EJPVA	60-149	90	15-149	135	499
HNV3Z9J01EOAB6	60-102	43	15-102	88	522
HNV3Z9J01C61L5	59-396	338	15-396	382	522
HNV3Z9J01AWKU1	73-372	300	15-372	358	530
HNV3Z9J01EIMUD	59-430	372	15-430	416	516
HNV3Z9J01D2FA3	60-431	372	15-431	417	510
HNV3Z9J01CGXHP	58-424	367	15-424	410	523
HNV3Z9J01DG9LG	38-62	25	15-62	48	775
HNV3Z9J01A38MH	58-334	277	15-334	320	513
HNV3Z9J01BFUK3	61-477	417	15-477	463	521
HNV3Z9J01BPKZO	71-379	309	15-379	365	547
HNV3Z9J01COTQ1	58-422	365	15-422	408	505
HNV3Z9J01EURKS	60-142	83	15-164	150	502
HNV3Z9J01A357F	59-381	323	15-381	367	535
HNV3Z9J01AW2ZU	62-353	292	15-353	339	524
HNV3Z9J01A0Z7K	61-230	170	15-260	246	544
HNV3Z9J01CU253	79-138	60	15-138	124	512
HNV3Z9J01C2XVS	37-396	360	15-396	382	556
HNV3Z9J01BJVBT	37-396	360	15-396	382	552
HNV3Z9J01BKBLO	57-362	306	15-362	348	485
HNV3Z9J01E2Y39	59-493	435	15-493	479	504
HNV3Z9J01E5F40	37-98	62	15-98	84	252
HNV3Z9J01BWTJ2	62-482	421	15-482	468	523
HNV3Z9J01E6H0B	58-334	277	15-334	320	337
HNV3Z9J01BLVSY	80-319	240	15-319	305	476
HNV3Z9J01B5D2P	37-479	443	15-485	471	527
HNV3Z9J01DYSSI	37-323	287	15-323	309	531
HNV3Z9J01DDMYS	37-470	434	15-470	456	517
HNV3Z9J01D2WGW	58-434	377	15-434	420	521
HNV3Z9J01EC57E	56-401	346	15-401	387	488
HNV3Z9J01COCJX	61-94	34	15-94	80	587
HNV3Z9J01EYRMB	59-245	187	15-245	231	384
HNV3Z9J01D8B7Z	60-427	368	15-464	450	508
HNV3Z9J01D2VVY	37-325	289	15-325	311	508
HNV3Z9J01ASIXL	60-417	358	15-443	429	506
HNV3Z9J01DME7K	59-456	398	15-493	479	504
HNV3Z9J01BV99L	38-38	1	15-56	42	524
HNV3Z9J01BYY9H	59-410	352	15-410	396	521
HNV3Z9J01D1HZG	58-334	277	15-334	320	488
HNV3Z9J01DL9J6	58-225	168	15-225	211	734
HNV3Z9J01ASITU	59-431	373	15-431	417	537
HNV3Z9J01A1HGT	37-372	336	15-372	358	542
HNV3Z9J01BDTBZ	59-348	290	15-348	334	536
HNV3Z9J01C9QRW	59-509	451	15-509	495	531
HNV3Z9J01BDXAO	61-316	256	15-316	302	526
HNV3Z9J01A855T	39-47	9	15-47	33	574
HNV3Z9J01EB5Q7	56-409	354	15-409	395	530
HNV3Z9J01EX5W9	37-37	1	15-62	48	480
HNV3Z9J01CN4U1	60-328	269	15-328	314	526
HNV3Z9J01CGN56	61-256	196	15-314	300	336
HNV3Z9J01ATUEL	60-466	407	15-466	452	491
HNV3Z9J01ELDVS	65-342	278	15-342	328	352
HNV3Z9J01BD7F7	57-367	311	15-367	353	509
HNV3Z9J01BCL78	59-378	320	15-378	364	450
HNV3Z9J01DHH0F	79-332	254	15-332	318	534
HNV3Z9J01DWFLS	60-363	304	15-363	349	501
HNV3Z9J01DYHAA	61-430	370	15-436	422	508
HNV3Z9J01CECBC	72-437	366	15-446	432	541
HNV3Z9J01EWU75	61-485	425	15-485	471	522
HNV3Z9J01CT3IU	38-474	437	15-474	460	536
HNV3Z9J01EOOW8	80-390	311	15-422	408	532
HNV3Z9J01BBU4S	61-467	407	15-467	453	527
HNV3Z9J01AQ593	58-493	436	15-493	479	535
HNV3Z9J01CAR0W	61-294	234	15-294	280	680
HNV3Z9J01AVQTY	62-389	328	15-389	375	529
HNV3Z9J01ANFQ5	58-402	345	15-402	388	526
HNV3Z9J01C0QBO	61-398	338	15-428	414	518
HNV3Z9J01B1YR6	61-367	307	15-367	353	514
HNV3Z9J01AT0JP	72-385	314	15-385	371	544
HNV3Z9J01EP4FB	59-487	429	15-487	473	491
HNV3Z9J01EJVPS	58-466	409	15-466	452	473
HNV3Z9J01C043T	37-37	1	15-93	79	558
HNV3Z9J01BN254	61-362	302	15-362	348	519
HNV3Z9J01CL4RN	61-278	218	15-278	264	531
HNV3Z9J01CTU1S	37-395	359	15-395	381	539
HNV3Z9J01ADBP5	38-450	413	15-458	444	545
HNV3Z9J01CTXSX	60-67	8	15-67	53	284
HNV3Z9J01CCGRB	60-431	372	15-442	428	508
HNV3Z9J01B5K1T	37-272	236	15-272	258	557
HNV3Z9J01D5ICE	61-467	407	15-467	453	541
HNV3Z9J01ATK8O	58-480	423	15-480	466	524
HNV3Z9J01B6GTQ	59-528	470	15-528	514	534
HNV3Z9J01BC2GS	58-385	328	15-385	371	500
HNV3Z9J01C9QK6	58-178	121	15-178	164	179
HNV3Z9J01DQUG4	38-340	303	15-340	326	527
HNV3Z9J01BHK1O	58-397	340	15-397	383	531
HNV3Z9J01DXTDY	61-430	370	15-436	422	523
HNV3Z9J01BEYW1	59-433	375	15-433	419	514
HNV3Z9J01APQQE	58-294	237	15-294	280	520
HNV3Z9J01ASOWA	63-115	53	15-115	101	738
HNV3Z9J01A7355	61-449	389	15-449	435	524
HNV3Z9J01C7HY1	59-458	400	15-458	444	508
HNV3Z9J01B0KNF	65-479	415	15-479	465	541
HNV3Z9J01AQWZ5	60-85	26	15-85	71	535
HNV3Z9J01AI4K0	58-334	277	15-334	320	340
HNV3Z9J01DTSSS	37-379	343	15-379	365	531
HNV3Z9J01C0Q30	77-416	340	15-416	402	529
HNV3Z9J01BS97L	59-398	340	15-398	384	516
HNV3Z9J01DUIAN	60-92	33	15-92	78	610
HNV3Z9J01BPOUV	38-221	184	15-221	207	526
HNV3Z9J01B3M0P	59-265	207	15-265	251	269
HNV3Z9J01DV9FF	58-481	424	15-481	467	516
HNV3Z9J01AINIG	57-93	37	15-93	79	502
HNV3Z9J01AU1G5	38-287	250	15-287	273	572
HNV3Z9J01DTX5S	58-138	81	15-138	124	810
HNV3Z9J01EL227	60-361	302	15-361	347	527
HNV3Z9J01BK379	37-378	342	15-378	364	504
HNV3Z9J01CDC57	63-476	414	15-476	462	515
HNV3Z9J01EJIWZ	60-464	405	15-464	450	521
HNV3Z9J01D63WA	60-232	173	15-232	218	513
HNV3Z9J01B2PRQ	60-185	126	15-208	194	532
HNV3Z9J01BLJWO	60-455	396	15-455	441	494
HNV3Z9J01DSLMT	38-47	10	15-47	33	606
HNV3Z9J01BVMIF	66-365	300	15-365	351	513
HNV3Z9J01AEV9N	66-328	263	15-328	314	491
HNV3Z9J01BA3JS	59-322	264	15-322	308	496
HNV3Z9J01C51JO	61-170	110	15-170	156	655
HNV3Z9J01BFGNO	58-420	363	15-420	406	520
HNV3Z9J01BPMZY	58-346	289	15-346	332	357
HNV3Z9J01ANG7Y	37-48	12	15-48	34	513
HNV3Z9J01ANHG3	59-371	313	15-371	357	499
HNV3Z9J01BCYH9	60-441	382	15-441	427	496
HNV3Z9J01CKOXC	59-366	308	15-366	352	537
HNV3Z9J01CX865	58-300	243	15-300	286	304
HNV3Z9J01A4NY5	58-443	386	15-443	429	526
HNV3Z9J01B437U	37-37	1	15-47	33	768
HNV3Z9J01CUQ6A	37-398	362	15-398	384	526
HNV3Z9J01E0HFT	36-36	1	15-70	56	619
HNV3Z9J01A6P43	60-345	286	15-345	331	526
HNV3Z9J01BM4JO	37-335	299	15-335	321	521
HNV3Z9J01BXZIY	39-39	1	15-64	50	524
HNV3Z9J01CMYVJ	58-412	355	15-444	430	534
HNV3Z9J01BQJL0	59-380	322	15-380	366	499
HNV3Z9J01EEEBS	57-123	67	15-123	109	1054
HNV3Z9J01BO3GH	60-371	312	15-403	389	531
HNV3Z9J01BBTQC	37-440	404	15-440	426	450
HNV3Z9J01ELYVC	57-430	374	15-430	416	476
HNV3Z9J01EOO7K	59-414	356	15-414	400	511
HNV3Z9J01BZWPC	59-165	107	15-182	168	641
HNV3Z9J01C0ILW	61-449	389	15-449	435	528
HNV3Z9J01DR12M	60-308	249	15-308	294	538
HNV3Z9J01DFQAD	61-198	138	15-198	184	762
HNV3Z9J01DWFEK	59-394	336	15-394	380	538
HNV3Z9J01CTNV4	59-326	268	15-326	312	524
HNV3Z9J01AWM64	37-393	357	15-393	379	549
HNV3Z9J01C3O7J	37-433	397	14-433	420	518
HNV3Z9J01CKJWT	38-451	414	15-454	440	544
HNV3Z9J01D7YM9	37-275	239	15-275	261	663
HNV3Z9J01AZXNM	63-326	264	15-337	323	528
HNV3Z9J01A8MRP	57-335	279	15-335	321	517
